key,en,es,pt-BR,rus,mk

pause_resume,Resume,Continuar,Prosseguir,Продолжить,Продолжи
pause_restart,Restart,Reiniciar,Reiniciar,Перезагрузка,Рестартирайте
pause_difficulty,Difficulty,Dificultad,Dificuldade,Сложность,Тешкотийа
pause_options,Options,Opciones,Opções,Предпочтения,Опции
pause_exit,Exit,Salir,Sair,Уезжать,Излезете

difficulty_easy,Easy,Fácil,Fácil,Легкий,Лесно
difficulty_normal,Normal,Normal,Normal,Нормаль,Нормал
difficulty_hard,Hard,Difícil,Durão,Хард,Тешка
difficulty_erect,Erect,Ereto,Ereto,Ерект,Ерекциjа
difficulty_nightmare,Nightmare,Pesadilla,Pesadelo,Кошмар,Кошмар
difficulty_flaccid,Flaccid,Flácido,Flácido,Дряблый,Флакцидно
difficulty_back,Back,Volver,Voltar,Назад,Назад

options_tab_gameplay,Gameplay,Jugabilidad,Jogabilidade,Gameplay,Игранйе

option_scroll,Scroll Direction,Dirección de las Notas,Direção das Notas,Scroll Direction,Распоред на белешките
option_note_speed,Note Speed,Velocidad de las Notas,Velocidade das Notas,Note Скорость,Note Брзина
option_note_speed_mode,Note Speed Mode,Dirección de las Notas,Direção das Notas,Note Скоростной режим,Note мод за брзина
option_ghost_tapping,Ghost Tapping,Ghost Tapping,Ghost Tapping,Ghost Tapping,Ghost Tapping
option_use_epics,Show 'Epic' Judgement,Mostrar Calificación 'Epic',Mostrar Classificação 'Epic',Show 'Epic' Judgement,Прикажи 'Epic' рејтинг

option_key_note_left,Note Left,Note Left,Note Left,Note Left,Note Left
option_key_note_down,Note Down,Note Down,Note Down,Note Down,Note Down
option_key_note_up,Note Up,Note Up,Note Up,Note Up,Note Up
option_key_note_right,Note Right,Note Right,Note Right,Note Right,Note Right

option_key_volume_up,Volume Up,Volume Up,Volume Up,Volume Up,Volume Up
option_key_volume_down,Volume Down,Volume Down,Volume Down,Volume Down,Volume Down
option_key_volume_mute,Volume Mute,Volume Mute,Volume Mute,Volume Mute,Volume Mute

options_tab_visuals,Visuals,Visuales,Visuais,Visuals,Изглед

option_framerate,Framerate,Framerate,Framerate,Framerate,Фрамерате
option_language,Language,Idioma,Idioma,Язык,Йазик
option_vsync_mode,VSync Mode,Tipo de VSync,Tipo de VSync,Тип VSync,Тип VSync

option_hud_style,HUD Style,Estilo de la HUD,Estilo da HUD,Стиль HUD,Изглед HUD
option_combo_stacking,Combo Stacking,Apillar Combo,Empihar Combo,Стиль HUD,Изглед HUD
option_simplify_popups,Simplify Popups,Simplificar Popups,Simplfiicar Pop-ups,Simplify Popups,Поедноставени Popups
option_timer_style,Timer Style,Estilo del Timer,Estilo do Timer,Таимер Стиль,Таимер Стиль
option_note_splash_alpha,Note Splash Opacity,Opacidad del Note Splash,Opacidade do Note Splash,Note Splash Opacity,Слабење на Note Splash
option_health_bar_alpha,Health Bar Opacity,Opacidad de la Barra de HP,Opacidade da Barra de HP,Health Bar Opacity,Слабење на Health Bar
