key,en,pt,mk
score,Score,Pontos,Поен
misses,Misses,Erros,Промаши
score_text,"Score: %s | Combo: %s | Breaks: %s","Pontos: %s | Combo: %s | Quebras: %s","Поен: %s | Комбо: %s | Промаши: %s"
score_text_nomiss,"Score: %s | Combo: %s","Pontos: %s | Combo: %s","Поен: %s | Комбо: %s"

secret_msg_1,"Pick up your balls\nand try again.","Pega tuas bola e levanta",""
secret_msg_2,"Make your girl proud\nand try again.","Faz isso por ela, te levanta",""
secret_msg_3,"Years of rapping yet here you are losing to some brat\ntry again.","Não deixa esse ótario te vencer, te levanta",""
secret_msg_fallback,"You Died!","Você Morreu!","Ти умре!"

choice_da,Yes,Sim,Да
choice_nyet,No,Não,Не
game_over,Game Over!,Fim de Jogo!,Играта заврши!

pause_resume,Resume,Prosseguir,Продолжи
pause_restart,Restart,Reiniciar,Рестартирајте
pause_options,Options,Opções,Опции
pause_exit,Exit,Sair,Излезете
